ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0046649,lymphocyte activation,64/488,461/11099,9.69798632017757e-17,3.79094285255741e-13,2.55618502586575e-13,Il2/Cd2/Cd6/Ctla4/Hspd1/Irf4/Tnfrsf13b/Il2ra/Cdkn1a/Traf6/Cd5/Cd47/Prnp/Themis/Sdc4/Ap3b1/Xbp1/Cd44/Lgals1/Rab27a/Bcl2/Tnfsf11/Nfatc1/Stat3/Ptprc/Rbpj/Ebi3/Bax/Ccr6/Prex1/Ptk2b/Egr1/Cd81/Icos/Cd28/Treml2/Tnfsf4/Lcp1/Thy1/Fam49b/Itm2a/Foxp1/Spn/Il18r1/Zeb1/Sema4a/Nfkbid/Pik3r1/Rora/Foxp3/Itgb2/Il2rg/Stat5b/Irs2/Cd83/Il2rb/Slfn1/Pou2f2/Lrrc32/H2-T23/Hdac7/Cd4/Btla/Vsir,64
GO:0042110,T cell activation,52/488,333/11099,6.85166095016204e-16,1.33915713270917e-12,9.02976790484513e-13,Il2/Cd2/Cd6/Ctla4/Hspd1/Irf4/Il2ra/Traf6/Cd5/Cd47/Prnp/Themis/Sdc4/Ap3b1/Xbp1/Cd44/Lgals1/Rab27a/Bcl2/Tnfsf11/Stat3/Ptprc/Ebi3/Bax/Ccr6/Prex1/Egr1/Icos/Cd28/Treml2/Tnfsf4/Lcp1/Thy1/Fam49b/Foxp1/Spn/Il18r1/Zeb1/Sema4a/Nfkbid/Rora/Foxp3/Itgb2/Il2rg/Stat5b/Cd83/Slfn1/Lrrc32/H2-T23/Cd4/Btla/Vsir,52
GO:0001816,cytokine production,59/488,421/11099,1.12278993515471e-15,1.46299528550659e-12,9.86479297413123e-13,Il2/Tnfrsf9/Rnf19b/Cd2/Furin/Cd6/Ltb/Hspd1/Lta/Irf4/Ccl3/Traf6/Hif1a/Ndrg2/Trim30a/Prnp/Ncl/Xbp1/Il9/Ccl4/Il12rb2/Rbpj/Eif2ak2/Arrb1/Egr1/Hilpda/Irf8/Cd28/Tnfsf4/Il6ra/Pdcd4/Irf7/Zc3hav1/Fam49b/Isg15/Foxp1/Spn/Fn1/Tspo/Il17f/Il18r1/Tnf/Cadm1/Pik3r1/Rora/Anxa4/Foxp3/Slc37a4/Stat5b/S1pr3/Mapk3/Runx3/Cd83/Srgn/Lrrc32/H2-T23/Hdac7/Cd4/Vsir,59
GO:0001817,regulation of cytokine production,54/488,377/11099,8.00268031391472e-15,6.53226795508263e-12,4.40462602079598e-12,Il2/Tnfrsf9/Cd2/Furin/Cd6/Ltb/Hspd1/Lta/Irf4/Ccl3/Traf6/Hif1a/Ndrg2/Trim30a/Prnp/Ncl/Xbp1/Il9/Ccl4/Il12rb2/Eif2ak2/Arrb1/Egr1/Hilpda/Irf8/Cd28/Tnfsf4/Il6ra/Pdcd4/Irf7/Zc3hav1/Fam49b/Isg15/Spn/Fn1/Tspo/Il17f/Il18r1/Tnf/Cadm1/Pik3r1/Rora/Anxa4/Foxp3/Slc37a4/Stat5b/S1pr3/Mapk3/Cd83/Srgn/Lrrc32/H2-T23/Hdac7/Vsir,54
GO:0098602,single organism cell adhesion,56/488,402/11099,8.3554207662863e-15,6.53226795508263e-12,4.40462602079598e-12,Il2/Serpine2/Cd2/Cd6/Ctla4/Hspd1/Il2ra/Traf6/Cd5/Cd47/Prnp/Sdc4/Ap3b1/Xbp1/Cd44/Lgals1/Perp/Pkp4/Bcl2/Tnfsf11/Selplg/Ptprc/Map2k1/Cyr61/Ets1/Prex1/Nlgn2/Icos/Cd28/Tnfsf4/Myl12b/Vegfa/Plek/Thy1/Flna/Fam49b/Spn/Fn1/Tnf/Calr/Zeb1/Nfkbid/Pik3r1/Foxp3/Itgb2/Il2rg/Stat5b/Cd83/St6gal1/Slfn1/Lrrc32/Pvr/H2-T23/Cd4/Btla/Vsir,56
GO:0030155,regulation of cell adhesion,56/488,415/11099,3.35914190590374e-14,1.87584081573967e-11,1.26485583945608e-11,Il2/Serpine2/Cd6/Ctla4/Hspd1/Il2ra/Traf6/Cd5/Cd47/Prnp/Sdc4/Ap3b1/Pten/Xbp1/Cd44/Lgals1/Bcl2/Tnfsf11/Ptprc/Rbpj/Map2k1/Cyr61/Itga3/Plekha2/Ets1/Prex1/Ptk2b/Nid1/Icos/Cd28/Tnfsf4/Vegfa/Thy1/Flna/Tgm2/Fam49b/Spn/Fn1/Tnf/Calr/Zeb1/Nfkbid/Pik3r1/Tnfrsf18/Foxp3/Il2rg/Stat5b/Cd83/St6gal1/Tpm1/Slfn1/Lrrc32/H2-T23/Cd4/Btla/Vsir,56
GO:0008285,negative regulation of cell proliferation,54/488,401/11099,1.09427676564677e-13,5.34690984614153e-11,3.6053539752362e-11,Il2/Tnfrsf9/Serpine2/Trp53inp1/Scin/Ctla4/Lta/Tnfrsf13b/Il2ra/Ndrg1/Cdkn1a/Tes/Btg2/Stat1/Ndrg2/Prnp/Lif/Sdc4/Pten/Cd44/Bcl2/Lmna/Nfatc1/Stat3/Rxra/Rbpj/Map2k1/Bax/Eif2ak2/Cdkn1b/Ptk2b/B4galt1/Wdr77/Spn/Cd9/Tspo/Tnf/Maged1/Zeb1/Atp5a1/Pik3r1/Tfdp1/Foxp3/Irf6/Kdm2b/Runx3/Slfn2/Inhba/Phb2/Npm1/Slfn1/Lrrc32/Btla/Vsir,54
GO:0098609,cell-cell adhesion,53/488,405/11099,6.03759389878638e-13,2.3600954550356e-10,1.59138264448012e-10,Il2/Serpine2/Cd2/Cd6/Ctla4/Hspd1/Il2ra/Traf6/Cd5/Cd47/Prnp/Sdc4/Ap3b1/Xbp1/Cd44/Lgals1/Perp/Pkp4/Bcl2/Tnfsf11/Selplg/Ptprc/Map2k1/Cyr61/Ets1/Nlgn2/Icos/Cd28/Tnfsf4/Myl12b/Vegfa/Plek/Thy1/Flna/Fam49b/Spn/Tnf/Cadm1/Zeb1/Nfkbid/Pik3r1/Foxp3/Itgb2/Il2rg/Stat5b/Cd83/Slfn1/Lrrc32/Pvr/H2-T23/Cd4/Btla/Vsir,53
GO:0050863,regulation of T cell activation,34/488,202/11099,1.07236000661806e-11,2.8834382676795e-09,1.94426611255253e-09,Il2/Cd6/Ctla4/Hspd1/Il2ra/Traf6/Cd5/Cd47/Prnp/Sdc4/Ap3b1/Xbp1/Cd44/Lgals1/Tnfsf11/Ptprc/Icos/Cd28/Tnfsf4/Thy1/Fam49b/Spn/Zeb1/Nfkbid/Foxp3/Il2rg/Stat5b/Cd83/Slfn1/Lrrc32/H2-T23/Cd4/Btla/Vsir,34
GO:0002252,immune effector process,50/488,396/11099,1.10646134600134e-11,2.8834382676795e-09,1.94426611255253e-09,Il2/Rnf19b/Bnip3/Bnip3l/Hspd1/Lta/Gpi1/Irf4/Il2ra/Ncf1/Traf6/Cd47/Xbp1/Lgals1/Rab27a/Myo1g/Bcl2/Stat3/Serinc5/Ptprc/Eif2ak2/Ccr6/Samhd1/Ptk2b/Cd28/Tnfsf4/Trim25/Lcp1/Irf7/Oas3/Zc3hav1/Fam49b/Isg15/Itm2a/Foxp1/Spn/Stat2/Il18r1/Tnf/Cadm1/Sema4a/Sh2d1a/Rora/Foxp3/Stat5b/Mapk3/Pou2f2/Pvr/H2-T23/Vsir,50
