ensembl_gene_id	external_gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000045573.9	Penk	2.54281649603077	10.303881439679	195.560757319367	7.36047036181169e-16	4.6260121449994e-12	27.1922300215359
ENSMUSG00000062070.12	Pgk1	-1.65249877976151	11.236464373466	-195.349714186595	7.42359326807253e-16	4.6260121449994e-12	27.3819313978025
ENSMUSG00000027720.7	Il2	4.06401157610416	8.47169246964751	180.751406584255	1.37207278652069e-15	5.70004771280246e-12	25.8147379181651
ENSMUSG00000037071.2	Scd1	-3.04116496591404	8.43935735957892	-142.551276104319	8.9694594577832e-15	2.7946593305588e-11	24.5302912247048
ENSMUSG00000049775.16	Tmsb4x	-1.00313787428588	12.5642479951693	-130.22092900057	1.83416311198841e-14	4.05628666894239e-11	24.0608806393779
ENSMUSG00000025161.16	Slc16a3	-3.0036060625136	7.75117880900658	-127.404985100321	2.18025502110517e-14	4.05628666894239e-11	23.4807321825751
ENSMUSG00000064363.1	mt-Nd4	1.25126026012646	11.6064232919428	124.899399498949	2.55099735463075e-14	4.05628666894239e-11	23.8076778545144
ENSMUSG00000028965.13	Tnfrsf9	-2.32583078324827	8.77747308014608	-124.57659656975	2.60373051043401e-14	4.05628666894239e-11	23.7860547454592
ENSMUSG00000026249.10	Serpine2	4.42363875224671	6.97022413919224	122.048669287843	3.06189368571927e-14	4.24004233390214e-11	22.6309795230379
ENSMUSG00000050912.15	Tmem123	-1.90325565174133	8.16040950987652	-111.805611729871	6.12303395812748e-14	7.4895864420404e-11	22.9319195676329
ENSMUSG00000028793.15	Rnf19b	-2.48510261785066	7.49374900380293	-110.196947005554	6.86632743107153e-14	7.4895864420404e-11	22.65769470892
ENSMUSG00000025203.5	Scd2	-1.27227777158818	11.1206783933531	-109.322816782095	7.31252674560117e-14	7.4895864420404e-11	22.6557612201582
ENSMUSG00000057666.18	Gapdh	-1.04483788563427	12.6661352958284	-108.412400696827	7.81229429082285e-14	7.4895864420404e-11	22.3698493185414
ENSMUSG00000030695.14	Aldoa	-1.47839084855981	10.5602425836405	-103.310068917278	1.14362079902969e-13	9.9781713451957e-11	22.2522383931047
ENSMUSG00000078566.8	Bnip3	-4.88897122332478	6.18988596893879	-101.507623237277	1.31433450172819e-13	9.9781713451957e-11	20.2427979565386
ENSMUSG00000028211.11	Trp53inp1	2.07191608376661	7.49503748894027	101.116121861764	1.35510172761243e-13	9.9781713451957e-11	22.1110825775972
ENSMUSG00000002565.16	Scin	-3.13608743519486	6.66935887818484	-100.122416779629	1.46512673793355e-13	9.9781713451957e-11	21.7580807468213
ENSMUSG00000027863.8	Cd2	-1.95470871776809	8.16979734533619	-99.9744926368234	1.48235012104582e-13	9.9781713451957e-11	22.0485479298013
ENSMUSG00000030530.15	Furin	-1.90978459891762	8.91769013187204	-99.5624951735954	1.53153509013064e-13	9.9781713451957e-11	22.0569865345994
ENSMUSG00000003153.10	Slc2a3	-3.4089162737674	6.53698085577403	-99.0034032809273	1.60124710666705e-13	9.9781713451957e-11	21.3759937033053
ENSMUSG00000027763.13	Mbnl1	1.36369559518226	8.88821785131582	98.0521361952016	1.72823059055879e-13	1.02566370714925e-10	21.9220474268882
ENSMUSG00000024670.16	Cd6	1.38148971526745	9.00339464187874	96.6929035670227	1.92983630131212e-13	1.07321317335196e-10	21.8037798982375
ENSMUSG00000022051.15	Bnip3l	-1.70808239291826	7.95811607380286	-96.3759471864647	1.9805747401986e-13	1.07321317335196e-10	21.7875434160248
ENSMUSG00000032231.14	Anxa2	-1.73971729702722	8.2385313361605	-94.4323294835305	2.32661711805263e-13	1.20819288092875e-10	21.6387435936587
ENSMUSG00000059743.12	Fdps	-1.48968781663968	8.74416431261659	-93.0766103549114	2.60832321947217e-13	1.30030129137127e-10	21.5245796449916
ENSMUSG00000026011.13	Ctla4	-1.54901085952653	8.63134009978371	-90.8887883374229	3.14779305526637e-13	1.4827775573271e-10	21.3152035497198
ENSMUSG00000021794.15	Glud1	-1.6514249338875	8.7505683687974	-90.5080307179971	3.25398404959705e-13	1.4827775573271e-10	21.2730674030306
ENSMUSG00000004356.8	Utp20	1.94575841367118	7.03686364213795	89.8534335923113	3.4461150615023e-13	1.4827775573271e-10	21.1790726085891
ENSMUSG00000024399.5	Ltb	-2.34139455073905	8.2847380756921	-89.8397788900264	3.45025669280958e-13	1.4827775573271e-10	21.0408596527331
ENSMUSG00000064370.1	mt-Cytb	1.29259400251011	12.011515378263	89.3752935389017	3.594536038224e-13	1.49329008814619e-10	20.951102852285
ENSMUSG00000021831.8	Ero1l	-2.03348410166584	7.96581296750853	-88.9135578620318	3.74473139273855e-13	1.50319642900667e-10	21.1622904241857
ENSMUSG00000025980.14	Hspd1	0.990986519031296	10.3712300028213	88.5742625531369	3.8596072958528e-13	1.50319642900667e-10	20.9515743618626
ENSMUSG00000020326.7	Ccng1	1.6930337921697	9.6070288267907	86.6675946002661	4.58385461845177e-13	1.73116909423529e-10	20.8650323540791
ENSMUSG00000024402.5	Lta	-2.03332191761541	10.1595119687809	-85.4300955219504	5.1355719132066e-13	1.86123412712239e-10	20.8071836771625
ENSMUSG00000011179.8	Odc1	0.748362476056677	11.3948696516088	85.2396904974886	5.22692726063416e-13	1.86123412712239e-10	20.4695657969513
ENSMUSG00000036427.5	Gpi1	-1.36770484710128	9.44528839713356	-84.0240589055841	5.8552094098622e-13	2.01743531678044e-10	20.6171553001036
ENSMUSG00000023456.14	Tpi1	-1.77018468537881	11.0084783558164	-83.7835753468512	5.98933697511645e-13	2.01743531678044e-10	20.5034820979609
ENSMUSG00000060550.15	H2-Q7	-2.21397402854597	7.39560831897108	-82.8803602671268	6.52492622640682e-13	2.14000409367653e-10	20.4662391233678
ENSMUSG00000021356.10	Irf4	-0.977570084777728	9.73318921717679	-82.3831395646801	6.84266896961487e-13	2.18667136841821e-10	20.4217240280184
ENSMUSG00000064367.1	mt-Nd5	1.00915917927638	11.0135101001102	81.6113924409351	7.37096512399505e-13	2.29660845850876e-10	20.2503047683821
ENSMUSG00000010142.12	Tnfrsf13b	-1.86261720810379	7.65818548583443	-80.4138186843664	8.28424839841149e-13	2.49365803191578e-10	20.3668312366096
ENSMUSG00000064345.1	mt-Nd2	1.20723756477342	11.686117873752	80.2684154511426	8.4035655412391e-13	2.49365803191578e-10	20.1042900896479
ENSMUSG00000050921.12	P2ry10	-2.16730372572607	6.65906946188108	-79.6283868058974	8.95230128110113e-13	2.59471002014798e-10	20.2265868182467
ENSMUSG00000026770.5	Il2ra	-1.08016333820377	10.5844994888566	-79.3366918760739	9.2156906441495e-13	2.61034437495535e-10	19.887644786525
ENSMUSG00000005125.12	Ndrg1	-2.239762865177	6.66142378024448	-79.0476494190242	9.48532516114122e-13	2.62701349962896e-10	20.1218722720574
ENSMUSG00000028970.9	Abcb1b	2.82967716899669	6.26982792090975	78.4615448793862	1.0059798000161e-12	2.72554918426101e-10	20.0105576071119
ENSMUSG00000064341.1	mt-Nd1	0.697051710894357	12.1409386946434	77.9138102881296	1.06322974001968e-12	2.74906350702147e-10	19.7621874054183
ENSMUSG00000026670.15	Uap1	-1.91486554272047	6.7418170171957	-77.8419894654817	1.07100509509876e-12	2.74906350702147e-10	20.0779696182695
ENSMUSG00000030263.13	Lrmp	1.57761604358857	7.29047337390296	77.7520526441258	1.08083215793992e-12	2.74906350702147e-10	20.1034217498789
ENSMUSG00000023067.13	Cdkn1a	1.11805613741801	9.8079508366625	77.3374115492747	1.12747174755645e-12	2.81033607795919e-10	19.907746224803
ENSMUSG00000028645.11	Slc2a1	-1.86409858350149	7.69427134277327	-77.0541395665462	1.1606376396633e-12	2.83627978492623e-10	20.032259899271
ENSMUSG00000105987.4	AI506816	1.15991748494481	9.00125657044275	76.3895736739437	1.24284711902311e-12	2.97815051883548e-10	19.8878117151925
ENSMUSG00000026728.9	Vim	-1.52938131284297	10.6345742153871	-76.2076245030962	1.266484614445e-12	2.97815051883548e-10	19.6268531944493
ENSMUSG00000039221.10	Rpl22l1	-1.42285386482639	9.05937582540658	-74.9942420906128	1.43770196943465e-12	3.31816289723408e-10	19.8028004089897
ENSMUSG00000029552.19	Tes	-1.48850876267463	7.79038927885815	-74.0977780734922	1.58098770195781e-12	3.53128391324345e-10	19.6960381313924
ENSMUSG00000063889.16	Crem	-2.17713080492827	6.54061813766885	-74.0638871299018	1.58671186023937e-12	3.53128391324345e-10	19.7052750125195
ENSMUSG00000015950.13	Ncf1	-3.20283777454612	7.25115458429678	-73.2913555399338	1.72373935691815e-12	3.72275088443177e-10	19.5404431933833
ENSMUSG00000026222.16	Sp100	-1.59719359930642	6.90155343539416	-73.24441964826	1.73248456468782e-12	3.72275088443177e-10	19.6298456934182
ENSMUSG00000005610.17	Eif4g2	0.673559891411582	10.5986494028968	72.6009634138114	1.85755506581337e-12	3.80891281562428e-10	19.1564641902202
ENSMUSG00000000982.5	Ccl3	3.36738663609874	7.21874203746873	72.5790182725302	1.86199645678804e-12	3.80891281562428e-10	18.8211215250362
ENSMUSG00000027164.8	Traf6	-1.43731210350162	7.43125444833487	-72.5678187808772	1.86426768637632e-12	3.80891281562428e-10	19.5556774973135
ENSMUSG00000007872.3	Id3	3.03170288340413	6.89477952312168	71.7299677785247	2.04337452413351e-12	4.0552120360486e-10	18.9204405688388
ENSMUSG00000038963.15	Slco4a1	3.09863012671384	5.86376004897544	71.6001924992433	2.07281359481455e-12	4.0552120360486e-10	18.88534984137
ENSMUSG00000020027.18	Socs2	-2.54735303577614	6.25205967955421	-71.5582389142849	2.0824325628429e-12	4.0552120360486e-10	19.2832677412474
ENSMUSG00000056888.11	Glipr1	2.54454860725754	6.18123176245244	71.1767070963454	2.17225427031889e-12	4.16504691861298e-10	19.1959485389868
ENSMUSG00000021109.13	Hif1a	-1.41170128025599	7.73421739935206	-70.7746101246907	2.27167039100153e-12	4.28967092167455e-10	19.2878490423661
ENSMUSG00000037400.17	Atp11b	-1.58654313628885	7.58262698640927	-70.3691944678967	2.3771258142291e-12	4.38534201518095e-10	19.2798177773147
ENSMUSG00000040111.16	Gramd1b	2.32452499560392	8.81283948046562	70.3110090931248	2.39270847333952e-12	4.38534201518095e-10	19.2786485788284
